21,1,72,59,246,41,57,33,5,7,53,23,580,3,12,311,5,196,776,63,108,76,24,8,69,372,55,459,844,99,30,99,1296,83,96,237,25,9,67,5,73,807,2846,183,18,28,705,3339,63,24,31,0,1144,41,164,1173,17,146,17,471,10,53,2722,297,217,117,45,120,7,30,46,105,3400,154,89,5,1519,200
9,0,0,18,20,18,49,52,1,1,15,64,174,75,4,279,4,22,134,13,9,6,0,0,25,81,32,201,323,5,431,2,166,27,23,152,14,4,12,1,31,203,869,53,5,10,139,618,10,2,0,0,133,12,29,51,2,65,12,160,10,94,621,24,159,294,5,72,13,1242,14,117,490,63,63,0,741,811
35,0,27,61,106,21,73,29,6,8,52,33,391,11,25,388,6,134,679,103,130,97,36,8,36,566,128,807,653,24,71,29,987,81,95,597,30,5,69,3,98,784,8992,103,12,21,800,2894,44,27,10,0,1613,56,66,1196,9,134,9,784,20,67,1666,71,235,262,29,162,42,65,74,126,3052,181,204,3,1382,445
132,2,1489,233,756,28,105,15,32,58,207,14,1026,0,149,526,8,1041,4242,864,2211,1849,3392,161,61,4486,494,3377,1489,148,7,540,7582,268,457,2271,66,7,441,8,332,3531,97310,239,32,49,5468,16614,222,402,179,0,24290,273,188,40267,50,303,7,4139,34,43,5476,313,351,192,199,374,106,1,413,130,23937,566,628,13,2787,189
204,9,20536,464,3387,48,114,11,68,161,434,7,2148,0,259,556,9,3806,12097,2041,8925,7623,29535,758,116,10696,642,5324,2687,833,1,4763,25979,516,1060,2802,91,12,1155,17,543,8008,182636,515,67,90,14165,45558,641,1545,1389,0,84287,531,546,253861,166,495,9,7596,32,30,13592,1495,423,107,701,499,70,0,800,122,75774,953,735,33,4311,79
0,0,0,0,0,7,23,187,0,0,0,390,19,14395,0,152,2,0,2,0,0,0,0,0,6,0,1,10,50,0,56549,0,1,1,0,11,2,1,0,0,2,7,7,7,0,1,1,13,0,0,0,0,0,0,1,0,0,10,16,4,3,251,41,0,67,697,0,12,2,2328323,0,112,5,5,6,0,158,6083
3,0,0,6,3,13,38,82,0,0,5,124,78,511,0,226,3,4,32,2,0,0,0,0,15,17,12,72,165,0,2535,0,33,10,6,61,8,3,2,0,12,64,165,25,2,5,32,159,2,0,0,0,17,3,11,3,0,34,13,47,7,135,233,6,117,408,0,39,8,18926,3,115,100,26,29,0,425,1705
2,0,0,2,0,5,39,99,0,0,2,268,30,5795,0,234,3,0,9,1,0,0,0,0,5,8,14,58,78,0,19156,0,7,5,2,75,6,1,0,0,8,26,145,8,0,2,12,51,0,0,0,0,5,1,2,0,0,19,8,32,10,212,71,0,99,1066,0,33,27,261902,2,132,28,16,36,0,257,5965
235,26,183619,747,13040,86,111,10,105,327,737,4,4155,0,304,539,9,10895,26702,3199,22682,19252,121138,2269,226,17267,585,6098,4466,4553,0,33448,68448,832,1937,2392,107,18,2268,34,699,14500,194402,1080,128,153,26756,98098,1540,3880,8453,0,182122,769,1580,934877,467,724,13,9874,25,22,30655,7326,471,54,1991,555,29,0,1097,110,178573,1311,624,68,6081,32
0,0,0,2,1,15,27,134,0,0,1,184,51,1409,0,171,3,0,10,0,0,0,0,0,15,3,3,22,110,0,7437,0,9,4,2,17,4,3,0,0,4,24,20,19,1,3,8,55,0,0,0,0,2,0,8,0,0,21,20,12,3,165,136,4,88,354,0,20,1,131889,0,106,27,11,9,0,286,2112
126,4,2916,260,1203,37,101,15,35,68,236,12,1292,0,136,507,8,1424,5231,880,2648,2186,4339,207,81,4654,417,3162,1767,283,4,1049,9976,302,529,1864,67,9,513,10,336,4088,80216,316,40,59,6204,20412,291,486,328,0,27224,282,286,53896,71,339,9,4025,29,38,7261,586,358,144,275,366,65,0,410,124,29793,595,525,17,3094,135
5,0,0,10,10,18,41,68,0,0,8,83,127,155,1,239,4,10,66,5,2,1,0,0,23,34,16,105,244,3,888,0,78,17,12,78,10,4,5,0,18,113,287,42,4,7,64,320,5,0,0,0,44,6,22,12,1,48,15,77,7,108,422,17,134,292,2,49,7,4242,6,112,224,39,35,0,573,996
168,6,9301,367,2206,42,108,12,52,114,339,9,1733,0,202,534,8,2549,8610,1466,5505,4644,13858,451,99,7700,545,4342,2251,528,2,2555,17605,415,800,2404,80,10,833,14,448,6095,133555,418,54,75,10175,32875,464,974,768,0,53896,413,414,136882,117,422,9,5918,31,33,10452,1003,394,121,478,440,69,0,615,122,51968,788,647,25,3748,98
51,0,5,54,33,10,89,27,6,6,43,52,224,53,43,468,6,68,469,135,113,90,32,5,16,694,268,1247,442,3,224,5,574,67,77,1372,33,3,57,1,116,631,23595,49,7,14,726,2001,24,22,2,0,1700,65,21,810,3,109,5,1111,36,89,840,12,240,634,14,201,228,218,99,149,2117,187,430,1,1133,1146
149,10,19568,399,3772,59,100,13,53,130,379,7,2249,0,168,497,8,3558,10549,1379,6274,5182,16283,562,139,7441,412,3743,2713,1160,0,5512,23345,462,907,1746,78,13,946,18,431,6945,94141,583,70,92,11128,40199,621,1132,1537,0,56478,404,684,176655,173,470,12,5323,24,29,14410,2164,394,82,680,410,34,0,567,114,63970,800,485,33,4151,64
483,18,199023,1040,9834,52,147,7,181,521,989,4,3639,0,830,691,10,12443,35983,7885,50802,46673,480046,4475,144,39748,1638,13720,4267,2022,0,22958,85850,1059,2732,7173,149,13,3546,29,1178,19822,910387,787,111,144,46175,128600,1616,7871,6453,0,457173,1436,904,2139539,410,800,7,22364,49,24,26048,2971,546,100,2085,863,154,0,2410,127,259688,1940,1632,68,6503,53
70,4,1295,173,930,44,83,19,20,38,158,13,1133,0,61,426,7,899,3200,389,1064,830,974,86,89,2141,202,1664,1532,286,6,707,6053,215,333,879,50,10,293,9,210,2648,25324,309,36,51,3340,12850,208,210,215,0,10641,157,298,18778,55,276,12,2019,19,40,6179,657,309,116,185,255,26,2,206,115,16855,399,274,13,2613,129
