"","X_0001","X_0003","X_0006","X_0007","X_0008","X_0009","X_0011","X_0012","X_0013","X_0014","X_0016","X_0017","X_0018","X_0019","X_0020","X_0021","X_0022","X_0023","X_0025","X_0026","X_0027","X_0030","X_0032","X_0035","X_0036","X_0039","X_0041","X_0042","X_0043","X_0044","X_0045","X_0049","X_0052","X_0053","X_0055","X_0057","X_0058","X_0059","X_0060","X_0061","X_0062","X_0063","X_0064","X_0065","X_0068","X_0071","X_0073","X_0077","X_0079","X_0080","X_0081","X_0084","X_0085","X_0088","X_0091","X_0093","X_0094","X_0098","X_0103","X_0104","X_0105","X_0108","X_0110","X_0113","X_0116","X_0123","X_0124","X_0126","X_0131","X_0132","X_0134","X_0136","X_0137","X_0140","X_0142","X_0144","X_0145","X_0146","X_0148","X_0152","X_0153","X_0155","X_0162","X_0165","X_0167","X_0170","X_0175","X_0176","X_0180","X_0182","X_0189","X_0194","X_0195","X_0196","X_0199","X_0200","X_0203","X_0205","X_0208","X_0211","X_0213","X_0214","X_0216","X_0218","X_0219","X_0221","X_0224","X_0225","X_0226","X_0227","X_0234","X_0237","X_0238","X_0247","X_0250","X_0256","X_0257","X_0258","X_0266","X_0269","X_0279","X_0282","X_0283","X_0284","X_0287","X_0295","X_0296","X_0297","X_0301","X_0308","X_0324","X_0331","X_0347","X_0352","X_0354","X_0358","X_0367","X_0374","X_0377","X_0381","X_0386","X_0394","X_0398","X_0415"
"S_01933",0,0,0,41,51,0,0,3704,0,0,0,0,0,733,0,0,0,1786,831,0,1104,0,0,0,0,0,0,0,0,0,0,0,3954,192,74,479,0,0,0,0,3211,483,0,0,0,0,44,0,176,37,0,0,0,0,0,0,0,0,0,263,84,0,0,0,155,0,0,122,0,0,365,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,14,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02029",0,0,0,0,0,0,0,2326,0,0,0,0,0,597,0,0,0,768,566,0,900,0,0,0,0,0,0,0,0,0,0,0,3857,88,18,272,0,0,0,0,2444,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,35,0,0,0,140,0,0,70,0,0,334,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02125",0,0,0,44,0,0,0,2754,0,0,0,0,0,1123,0,0,0,1691,590,0,935,0,0,0,0,0,0,0,0,0,0,0,3218,113,104,348,0,0,0,0,3071,408,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,235,88,0,0,0,380,0,0,88,0,0,408,0,0,0,113,97,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,141,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,85,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02221",0,0,0,0,0,0,0,3980,0,0,0,0,0,2431,0,0,1518,3026,933,0,2236,0,0,0,0,0,0,0,0,0,0,0,8185,0,359,1498,0,0,0,0,6359,1867,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,544,113,0,0,0,892,0,0,154,0,0,1323,0,0,0,482,595,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02317",0,0,0,48,0,0,0,1625,0,0,0,0,0,1295,0,0,401,1639,320,0,860,0,0,0,0,0,0,0,0,0,0,0,3622,67,67,234,0,0,0,0,4912,0,0,0,0,0,0,0,57,43,0,0,0,0,0,0,0,0,0,91,0,0,0,0,349,0,0,67,0,0,277,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02413",0,0,0,0,0,0,0,1542,0,0,0,0,0,375,0,0,312,1509,624,0,593,0,0,0,0,0,0,0,0,0,0,0,2648,94,44,268,0,0,50,0,3872,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,80,40,0,0,0,278,0,0,37,0,0,318,0,0,0,74,44,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,171,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02509",0,0,0,0,37,0,0,1588,0,0,0,0,0,693,0,0,262,1468,439,0,683,0,0,0,0,0,0,0,0,0,0,0,3571,0,35,223,0,0,0,0,2895,161,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,109,27,0,0,0,169,0,0,41,0,0,219,0,0,0,47,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02605",0,0,0,0,0,0,0,1351,109,0,0,0,0,1434,0,0,210,2282,345,0,655,0,0,0,0,0,0,0,0,0,0,0,2572,0,101,210,52,0,40,0,4535,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,210,0,0,46,0,0,210,0,0,0,75,26,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,75,0,49,0,0,0,0,0,0,0,0,0,0,0,20,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02701",0,0,0,0,0,0,0,176,0,0,0,0,0,191,0,0,0,219,43,0,67,0,0,0,0,0,0,0,0,0,0,0,424,0,0,55,0,0,0,0,1350,63,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,91,0,0,0,0,0,57,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02797",0,0,0,0,0,0,0,1479,0,0,0,0,0,1542,0,0,0,1698,258,0,410,0,0,0,0,0,0,0,0,0,0,0,2157,0,58,263,27,0,67,0,6836,232,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,677,0,0,0,0,0,236,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02893",0,0,0,65,0,0,0,2645,0,0,0,0,0,1365,0,0,0,2251,190,0,411,0,0,0,0,0,0,0,0,0,0,0,3354,0,75,255,48,0,61,0,5205,289,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,292,0,0,48,0,0,329,0,0,0,88,34,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,112,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,85,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02989",0,0,0,0,0,0,0,3793,0,0,0,0,0,1479,0,0,0,2774,284,0,543,0,0,0,0,0,0,0,0,0,0,0,3597,0,117,418,113,0,104,0,5234,384,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,455,0,0,17,0,0,405,0,0,0,109,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,217,0,75,0,0,0,0,0,0,0,0,0,0,0,25,0,88,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03085",0,0,0,0,0,0,0,2950,118,0,0,0,0,342,0,0,0,1215,605,0,381,0,0,0,0,0,0,0,0,0,0,0,1402,0,28,351,79,0,0,0,1994,169,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,226,0,0,21,0,0,423,0,0,0,62,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,97,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03181",0,0,0,0,0,0,0,3754,60,0,0,0,0,590,0,0,0,1819,547,0,590,0,0,0,0,0,0,0,0,0,0,0,2487,0,48,512,108,0,0,0,2765,319,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,161,0,0,18,0,0,462,0,0,0,80,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,98,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03277",0,0,0,0,0,0,0,1882,0,0,0,0,0,472,0,0,0,1001,166,0,277,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,144,62,0,60,0,2274,104,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,129,0,0,0,0,0,173,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03373",0,0,0,0,0,0,0,3305,52,0,0,0,0,307,0,0,0,1786,317,0,307,0,0,0,0,0,0,0,0,0,0,0,2056,0,47,334,62,0,45,0,2349,149,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,97,0,0,10,0,0,453,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03469",0,0,0,0,0,0,0,4134,0,0,0,0,0,389,0,0,0,1544,413,0,528,0,0,0,0,0,0,0,0,0,0,0,3881,0,50,554,78,0,0,0,1902,264,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,99,0,0,0,0,0,721,0,0,0,37,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,199,0,71,0,0,0,0,0,0,0,52,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03565",0,0,0,0,0,0,0,1768,0,0,0,0,0,157,0,0,0,636,69,0,166,0,0,0,0,0,0,0,0,0,0,0,803,29,0,88,29,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,39,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03661",0,0,0,0,0,0,0,5140,89,0,0,0,0,941,0,0,509,2824,330,0,580,0,0,0,0,0,0,0,0,0,0,0,3685,0,125,455,143,0,89,0,3908,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,290,0,0,36,0,0,799,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,187,0,0,0,0,0,0,0,67,0,22,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
