"","X_0002","X_0003","X_0005","X_0009","X_0011","X_0013","X_0014","X_0016","X_0019","X_0020","X_0021","X_0022","X_0024","X_0032","X_0033","X_0035","X_0036","X_0038","X_0039","X_0042","X_0044","X_0045","X_0046","X_0048","X_0049","X_0061","X_0063","X_0078","X_0082","X_0083","X_0087","X_0090","X_0095","X_0098","X_0107","X_0110","X_0128","X_0135","X_0137","X_0151","X_0156","X_0158","X_0163","X_0169","X_0176","X_0185","X_0186","X_0190","X_0192","X_0197","X_0201","X_0213","X_0215","X_0223","X_0244","X_0251","X_0259","X_0260","X_0262","X_0263","X_0267","X_0270","X_0277","X_0294","X_0300","X_0310","X_0322","X_0334","X_0337","X_0359","X_0390","X_0391","X_0491"
"S_00412",0,18,0,0,0,0,0,6.5,0,0,0,163.5,0,0,0,17,0,0,170.5,0,0,0,0,172,15.5,0,0,0,117.5,62,0,34,0,271.5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,171,0,105,0,0,21,0,0,0,0,0,6.5
"S_00508",0,36,0,0,0,0,0,13,0,0,0,68,0,0,0,34,0,0,0,0,0,0,0,104,31,0,0,0,138,0,0,68,0,292,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,188,0,120,0,0,42,0,0,0,0,0,13
"S_00604",0,914.5,0,0,0,0,0,200,0,0,0,72,0,0,0,39,0,0,0,0,0,0,0,117.5,15.5,0,0,0,96.5,0,0,34,0,230.5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,295.5,0,180,0,0,34.5,0,0,0,0,0,6.5
"S_00700",0,914.5,0,0,0,0,0,200,0,0,0,72,0,0,0,39,0,0,0,0,0,0,0,117.5,15.5,0,0,0,96.5,0,0,34,0,230.5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,295.5,0,180,0,0,34.5,0,0,0,0,0,6.5
"S_00796",0,1793,0,0,0,0,0,387,0,0,0,76,0,0,0,44,0,0,0,0,0,0,0,131,0,0,0,0,55,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,240,0,0,27,0,0,0,0,0,0
"S_00892",0,1428.5,0,0,0,0,0,263,0,0,0,38,0,0,0,22,0,0,0,0,0,0,0,79.5,0,0,0,0,27.5,0,0,0,0,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,139,0,0,13.5,0,0,0,0,0,0
"S_00988",0,1428.5,0,0,0,0,0,263,0,0,0,38,0,0,0,22,0,0,0,0,0,0,0,79.5,0,0,0,0,27.5,0,0,0,0,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,139,0,0,13.5,0,0,0,0,0,0
"S_01084",0,1428.5,0,0,0,0,0,263,0,0,0,38,0,0,0,22,0,0,0,0,0,0,0,79.5,0,0,0,0,27.5,0,0,0,0,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,139,0,0,13.5,0,0,0,0,0,0
"S_01180",0,1064,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,38,0,0,0,0,0,0,0,0,0
"S_01276",0,1161.5,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,26,0,0,0,0,0,0,0,0,0
"S_01372",0,1161.5,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,26,0,0,0,0,0,0,0,0,0
"S_01468",0,1259,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,0,0,0
