"","X_0001","X_0002","X_0003","X_0004","X_0005","X_0006","X_0011","X_0013","X_0014","X_0015","X_0016","X_0018","X_0019","X_0021","X_0022","X_0024","X_0026","X_0030","X_0031","X_0032","X_0033","X_0036","X_0037","X_0038","X_0039","X_0040","X_0044","X_0047","X_0048","X_0049","X_0050","X_0054","X_0067","X_0069","X_0075","X_0076","X_0083","X_0084","X_0086","X_0087","X_0089","X_0090","X_0098","X_0100","X_0102","X_0107","X_0109","X_0111","X_0117","X_0118","X_0128","X_0130","X_0141","X_0143","X_0147","X_0164","X_0166","X_0171","X_0173","X_0179","X_0181","X_0185","X_0191","X_0198","X_0222","X_0232","X_0241","X_0243","X_0252","X_0254","X_0275","X_0291","X_0309","X_0361","X_0399"
"S_03977",0,7378,0,0,0,0,0,0,0,0,0,0,0,0,774,2149,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,430,0,0,0,1791,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,473,244,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"S_04073",0,10223,44,0,0,0,0,0,0,0,128,0,0,0,417,2498,0,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,535,0,0,0,1629,0,0,0,0,0,0,0,0,888,0,0,0,0,0,0,0,314,216,0,0,0,0,108,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04169",0,9923.5,22,0,0,0,0,0,0,0,64,0,0,0,317.5,2846.5,0,0,0,0,0,0,0,0,1285.5,0,0,0,0,0,0,0,839.5,0,0,0,1264.5,0,0,0,0,0,0,0,0,781.5,0,0,0,0,0,0,0,272.5,194,0,0,0,0,146.5,0,49,0,364,0,0,0,0,0,0,0,0,0,0,0
"S_04265",0,9624,0,0,0,0,0,0,0,0,0,0,0,0,218,3195,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,1144,0,0,0,900,0,0,0,0,0,0,0,0,675,0,0,0,0,0,0,0,231,172,0,0,0,0,185,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0
"S_04361",0,6324,30,0,0,0,0,0,0,0,174,0,0,0,829,1772,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,498,0,0,54,895,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,432,246,0,0,0,0,126,0,577,0,240,0,0,0,0,0,0,0,0,0,0,0
"S_04457",0,14461,0,0,0,0,0,0,0,0,0,0,0,0,395,2214,0,0,0,0,0,0,0,0,1202,0,0,0,0,0,0,0,1249,0,0,0,704,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,411,95,0,0,0,0,0,0,174,0,348,0,0,0,0,0,0,0,0,0,0,0
"S_04553",0,15433,0,0,0,0,0,0,0,0,0,0,0,0,386,2734,0,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,899,0,0,0,944,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,453,186,0,0,0,0,0,0,223,0,424,0,0,0,0,0,0,0,0,0,0,0
"S_04649",0,13021,0,0,0,0,64,0,0,0,0,0,0,0,127,903,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,104,0,98,0,0,0,0,0,0,0,0,0,0,0
"S_04745",0,10527,0,0,55,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
"S_04841",0,15529,0,0,292,0,104,0,0,0,0,0,0,0,177,1517,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,231,0,0,0,110,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,189,73,0,0,0,0,43,0,140,0,91,0,0,0,0,0,0,0,0,0,0,0
