"","X_0001","X_0002","X_0004","X_0007","X_0008","X_0009","X_0010","X_0012","X_0015","X_0017","X_0018","X_0026","X_0027","X_0029","X_0034","X_0039","X_0041","X_0043","X_0053","X_0057","X_0066","X_0067","X_0073","X_0075","X_0077","X_0086","X_0097","X_0101","X_0112","X_0114","X_0119","X_0140","X_0160","X_0161","X_0188","X_0207","X_0210","X_0220","X_0289","X_0305","X_0318"
"S_03437",884,0,9152,3465,1808,0,0,0,1289,0,0,0,0,0,0,0,0,0,54,0,0,0,306,0,0,0,0,0,33,0,93,0,0,18,0,0,0,0,0,0,0
"S_03533",1761,0,12650,6165,3591,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0
"S_03629",755,0,4254,2087,491,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
"S_03725",1959,0,8103,4807,1295,0,0,0,645,0,0,0,0,0,0,0,0,0,96,0,0,0,140,0,0,0,0,0,27,0,118,0,0,0,0,0,0,0,0,0,0
"S_03821",3026,0,16420,7387,4011,0,0,0,2352,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,75,0,275,0,0,0,0,0,0,0,0,0,0
"S_03917",1966,0,9936,2613,1726,0,0,0,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0
"S_04013",1369,0,5189,1710,468,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0
"S_04109",2265,0,7209,2318,1006,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0
"S_04205",392,0,3186,453,150,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0
"S_04301",2440,0,6819,2566,1860,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0
"S_04397",1347,0,3926,1515,419,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
"S_04493",4615,0,10156,7063,3020,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0
"S_04589",3784,0,6685,7051,1898,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04685",2031,0,5054,5403,1699,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
"S_04781",1286,0,2143,1500,772,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04877",3515,324,6202,6879,1924,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04973",3280,291,3838,5730,909,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
"S_05069",9980,0,10862,8800,2428,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
"S_05165",5817,2063,7067,3459,1180,0,0,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,54,0,0,0,0,0,0,0
"S_05261",6284,2330,7770,4989,804,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"S_05357",5067,2195,5249,2727,392,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05453",5358,1258,3459,7232,812,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
"S_05549",5618,1001,2228,4698,1049,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05645",3603,975,752,2099,752,0,0,0,135,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05741",5304,843,2830,6292,737,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
"S_05837",4631,1180,846,830,1518,0,0,0,160,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
"S_05933",3795,949,438,965,1148,0,0,0,202,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06029",8207,1492,3547,7203,851,0,0,0,436,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06125",4146,3077,2800,1894,208,0,0,0,384,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"S_06221",4144,2776,3620,2321,200,0,0,0,267,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06317",3399,2169,2314,1470,203,0,0,0,271,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
"S_06413",4582,2356,2468,1604,138,0,0,0,261,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06509",6375,669,2175,4944,444,0,0,0,235,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06605",5729,519,493,499,528,0,0,0,49,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06701",8108,3363,3049,2649,264,0,0,0,276,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06797",11197,662,631,1072,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06893",11578,865,4721,5720,578,0,0,0,382,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06989",10742,3645,3200,3452,389,0,0,0,297,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07085",4695,4960,3306,1375,132,0,0,0,186,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07181",7452,1007,1667,1759,364,0,0,0,209,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"S_07277",5933,624,3497,2309,590,0,0,0,109,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07373",3720,1452,444,1042,232,0,0,0,270,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07469",13183,1419,4657,3160,530,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07565",29354,6110,6317,7968,1858,0,0,0,2229,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07661",12409,1343,720,2270,401,0,0,0,628,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07757",8514,641,7402,2426,632,0,0,0,269,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"S_07853",6440,361,3827,201,304,0,0,0,33,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07949",12711,696,5769,2836,611,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08045",12875,539,3570,2775,363,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"S_08141",11310,742,4664,3103,343,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
"S_08237",15884,3797,4863,1758,275,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08333",11803,3135,5142,1296,235,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
