"","X_0001","X_0002","X_0004","X_0005","X_0006","X_0007","X_0008","X_0009","X_0010","X_0011","X_0012","X_0013","X_0015","X_0017","X_0018","X_0019","X_0023","X_0025","X_0026","X_0031","X_0034","X_0036","X_0037","X_0040","X_0041","X_0043","X_0051","X_0064","X_0067","X_0073","X_0075","X_0077","X_0086","X_0097","X_0099","X_0101","X_0117","X_0118","X_0119","X_0138","X_0150","X_0161","X_0171","X_0209","X_0226","X_0316","X_0365"
"S_03693",36544,0,8581,7021,0,1057,555,0,0,0,0,0,1526,2427,2219,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0
"S_03789",15532,0,6940,4951,0,0,479,0,0,0,0,0,393,1395,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03885",23386,0,10513,6641,0,325,576,0,0,0,0,0,826,2728,4155,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03981",19960,0,2195,2255,0,247,179,0,0,0,0,0,1651,1591,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0
"S_04077",23485,0,2198,4231,0,262,186,0,0,0,0,0,1148,1498,1334,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0
"S_04173",15234,0,2700,0,0,0,0,0,0,0,0,0,4435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04269",33862,0,14792,14402,0,436,654,0,0,0,0,0,1812,2488,7431,0,0,0,0,0,0,0,1101,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04365",16492,0,2445,2084,0,0,107,0,0,0,0,0,1148,1314,574,0,18,0,0,0,0,0,598,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0
"S_04461",12423,0,3774,4051,0,0,191,0,0,0,0,0,494,765,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04557",12046,0,4135,5003,0,0,138,0,0,0,0,0,606,648,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04653",7883,0,2517,3862,0,0,82,0,0,87,0,0,520,333,1728,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04749",14467,0,108,7237,0,0,137,0,0,238,0,0,0,3190,4479,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04845",8379,0,1731,3714,0,0,113,0,0,180,0,0,216,748,2389,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04941",7509,0,763,2346,0,0,25,0,0,139,0,0,334,309,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05037",16463,0,1546,5463,0,0,172,0,0,797,0,0,715,934,3491,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"S_05133",18898,0,406,2409,1879,0,91,0,0,795,0,0,1507,1076,1175,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0
"S_05229",17748,0,229,4357,12842,0,90,0,0,738,0,0,2134,1037,758,0,0,0,0,0,0,0,997,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
"S_05325",26280,0,127,5918,20500,0,0,0,0,556,0,0,799,961,2282,0,0,0,0,0,0,0,1344,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0
"S_05421",9766,0,0,7231,10023,0,0,0,0,1011,0,0,348,398,2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05517",10666,0,0,6925,8055,0,58,0,0,477,0,0,68,516,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05613",6791,0,0,4551,537,0,61,0,0,81,0,0,0,329,791,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05709",8465,0,0,5411,9908,0,0,0,0,818,0,0,433,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05805",11240,0,0,4615,639,0,104,0,0,120,0,0,33,601,1114,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05901",8667,0,0,5378,808,0,92,0,0,227,0,0,29,203,948,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05997",13397,0,0,5298,19146,0,0,0,0,336,0,0,157,829,1301,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06093",7606,0,0,2185,21947,0,0,0,0,191,0,0,0,0,414,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06189",6977,0,0,2560,13408,0,33,0,0,71,0,0,109,153,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06285",6646,0,0,2636,14498,0,0,0,0,178,0,0,0,255,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06381",10841,0,0,4424,21558,0,0,0,0,149,0,0,0,240,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06477",7786,0,0,4811,18835,0,0,0,0,121,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06573",8582,0,0,9628,2369,0,0,0,0,68,0,0,0,131,601,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06669",12390,0,0,4243,23599,0,0,0,0,129,0,0,0,204,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06765",12510,0,0,5925,4995,0,0,0,0,65,0,0,0,94,453,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06861",9540,0,0,10942,24378,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06957",10173,0,0,3508,18830,0,0,0,0,44,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07053",18447,0,0,9351,28762,0,0,0,0,0,0,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07149",8128,0,0,6982,19663,0,10,0,0,0,0,0,0,0,490,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07245",8925,0,0,9524,17317,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07341",1715,0,0,389,2074,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07437",11176,0,0,5187,23921,0,0,0,0,0,0,0,0,0,812,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07533",5634,0,0,2028,39390,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07629",3541,0,0,1024,23437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07725",6574,0,0,4580,20712,0,0,0,0,0,0,0,0,0,413,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07821",6374,0,0,7938,11794,0,0,0,0,0,0,0,0,0,462,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_07917",10184,0,0,8201,30306,0,0,0,0,103,0,0,0,0,1043,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08013",7387,0,0,4281,23290,0,0,0,0,0,0,0,0,0,328,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08109",8207,0,0,8410,37287,0,0,0,0,0,0,0,0,0,672,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08205",7919,0,0,11981,19645,0,0,0,0,159,0,0,0,0,1041,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08301",9373,0,0,4551,25546,0,0,0,0,58,0,0,0,0,537,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08397",13263,0,0,6788.5,33726.5,0,0,0,0,29,0,0,0,0,783.5,0,0,0,0,747.5,0,0,0,0,0,0,0,0,0,0,0,0,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08493",17153,0,0,9026,41907,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08589",7225,0,0,4839,30222,0,0,0,0,60,0,0,0,0,368,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08685",8865,0,0,6512,28204,0,0,0,0,0,0,0,0,0,514,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08781",6738,0,0,7289,16834,0,0,0,0,0,0,0,0,0,481,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08877",5421,0,0,4652,15821,0,0,0,0,0,0,0,0,0,494,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08973",3115,0,0,2570,10711,0,0,0,0,0,0,0,0,0,74,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09069",6393,0,0,5166,8025,0,0,0,0,0,0,0,0,0,448,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09165",5824,0,0,5237,7106,0,0,0,0,0,0,0,0,0,386,0,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09261",7710,0,0,2312,5952,0,0,0,0,0,0,0,0,0,550,0,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09357",6334,0,0,7077,11148,0,0,0,0,0,0,0,0,0,895,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09453",5448,0,0,10851,19429,0,0,0,0,0,0,0,0,0,1496,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09549",8946,0,0,8472,19980,0,0,0,0,0,0,0,0,0,800,0,0,0,0,4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09645",4616,0,0,6555,17540,0,0,0,0,0,0,0,0,0,80,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09741",8212,0,0,2955,11151,0,0,0,0,0,0,0,0,0,810,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09844",4100,0,0,4121,7916,0,0,0,0,0,0,0,0,0,873,0,0,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,452,0,0,0,0,0,0,0,0,0,0
"S_09933",7120,0,0,3379,893,0,0,0,0,0,0,0,0,0,148,0,0,0,0,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10029",7268,0,0,2070,9095,0,0,0,0,0,0,0,0,0,551,0,0,0,0,3213,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10125",7863,0,0,2843,14716,0,0,0,0,0,0,0,0,0,730,0,0,0,0,1289,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10221",6004,0,0,2094,7689,0,0,0,0,0,0,0,0,0,427,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10317",8316,0,0,3969,8721,0,0,0,0,0,0,0,0,0,897,0,0,0,0,3678,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10413",13037,0,0,1788,11931,0,0,0,0,0,0,0,0,0,700,0,0,0,0,3036,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10509",13776,0,0,2169,10300,0,0,0,0,0,0,0,0,0,690,0,0,0,0,2104,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
