"sampleID","time","resource","inoculum","replicate.id","treat1","treat2","missing","timeChar"
"S_00203",3,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_003"
"S_00299",4,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_004"
"S_00395",5,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_005"
"S_00491",6,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_006"
"S_00587",7,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_007"
"S_00683",8,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_008"
"S_00779",9,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_009"
"S_00875",10,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_010"
"S_00971",11,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_011"
"S_01067",12,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_012"
"S_01163",13,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_013"
"S_01259",14,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_014"
"S_01355",15,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_015"
"S_01451",16,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_016"
"S_01547",17,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_017"
"S_01643",18,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_018"
"S_01739",19,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_019"
"S_01835",20,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_020"
"S_01931",21,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_021"
"S_02027",22,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_022"
"S_02123",23,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_023"
"S_02219",24,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_024"
"S_02315",25,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_025"
"S_02411",26,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_026"
"S_02507",27,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_027"
"S_02603",28,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_028"
"S_02699",29,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_029"
"S_02795",30,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_030"
"S_02891",31,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_031"
"S_02987",32,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_032"
"S_03083",33,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_033"
"S_03179",34,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_034"
"S_03275",35,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_035"
"S_03371",36,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_036"
"S_03467",37,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_037"
"S_03563",38,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_038"
"S_03659",39,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_039"
"S_03755",40,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_040"
"S_03851",41,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_041"
"S_03947",42,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_042"
"S_04043",43,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_043"
